0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-563.28656,49.648838,-6.105738,10.458235,-5.491734,-0.3315176,-9.9508915,-0.9074124,-10.08037,-7.562868,-8.875398,-1.2832768,-4.3651705,-6.5103993,-3.9879518,-2.0328798,-6.3626313,-3.3422031,-6.8717356,-2.8004642,-3.104227,-6.110979,-5.529979,-1.9060185,-4.011483,-1.9285672,-1.890791,-1.3104874,-1.379075,-1.742529,-3.5435374,-0.91267586,-1.7475365,-2.2994475,-0.025204685,2.4494703,2.1165106,3.361054,2.0862405,0.37651896,angry
-582.41504,53.82776,-6.217736,7.7031937,-1.5356784,4.7516317,-11.035256,-6.7317414,-12.881445,-9.406088,-5.080708,0.43318984,-7.476513,-10.972319,-2.6721673,0.77480304,-7.003614,-5.016933,-4.147609,-4.9155097,-4.1639,-3.910877,-3.3797505,-4.7159414,-3.120151,0.8843367,-1.7964742,2.0942843,2.084031,1.2106302,2.333152,3.6190884,0.7935632,0.7434311,0.66072315,-0.2549136,-0.9675357,0.37856355,-0.33807388,-0.4632408,fearful
-418.49988,39.591274,-25.592108,-2.834798,-5.696198,-2.1065917,-18.492926,-7.5460377,-12.406196,-9.510558,-6.9370213,-1.2075868,-9.490372,-9.219841,2.695737,6.765974,-1.5755745,3.8346798,3.4550908,4.0223713,8.320875,6.5968313,5.3438997,3.111238,1.6144568,0.50660896,-3.047586,-0.4679209,0.7447963,0.5199628,0.28325337,0.21811661,-1.9281654,-2.486516,-0.5301464,0.35490534,0.46363962,0.58100563,-2.0914624,-1.899596,fearful
-470.2107,48.589825,-8.505513,5.728758,-3.0265071,-2.5719056,-14.422111,0.16104388,-6.6395006,-8.884907,-6.1922703,0.9303707,-5.094511,-6.93717,-0.8244493,-1.5591812,-6.4674025,-2.2382336,-6.228189,-4.7789373,-3.9358768,-2.5245457,-2.4201338,-0.32688808,1.2556932,1.8739401,-0.69428277,1.8400352,1.6891423,1.348541,2.1765647,3.9040473,0.9809348,1.1609229,-0.69490165,-0.969963,-0.2348018,0.94170046,0.69597286,0.43056613,angry
-650.4923,64.39037,0.82921916,11.523898,-0.3586219,3.5913172,-6.4609547,0.6406637,-12.072955,-4.1151204,-5.8277154,1.0929081,-3.342395,-6.6309686,-2.086851,1.4991755,-4.9994426,-3.3316884,-3.1312056,-2.4068146,-4.3435264,-2.6890008,-3.7310052,-3.5308042,-2.7855659,-1.6222773,-3.3704078,-0.83668524,-2.7325459,-2.2470808,-1.3060308,0.050260898,-0.9925388,-0.21336718,-0.35101774,-1.4622617,-2.4545653,-1.0448005,-0.29847878,0.11820803,disgust
-699.4721,72.06032,7.2975764,10.884043,3.8731945,2.3454242,-9.802934,-5.9796715,-11.092628,-4.559789,-3.895549,-1.7496173,-6.4008,-7.0830946,-1.1142749,-1.1124007,-5.4018517,-2.5727677,-3.0246847,-6.0116463,-4.0664334,-2.7074406,-4.730679,-3.3245692,-2.0315814,-0.5494104,-1.1319443,-0.181991,-2.2305427,-1.3923538,-1.2876983,-1.2757553,-0.7412536,-0.5871274,0.465012,-0.0022260828,-2.251985,-1.5695761,-1.7862349,-2.8367305,sad
-634.4853,71.03975,-6.5669293,7.721407,-0.3054227,6.9913554,-15.028293,-12.167973,-16.926113,-4.678616,-3.3898427,-0.9239805,-9.09696,-9.490169,-1.7453595,1.9089253,-6.967601,-2.9453428,-5.283939,-5.662377,-4.560036,-5.100846,-4.1612053,-4.6651244,-3.6084251,-1.4789686,-3.684565,-1.1685852,-0.74372,1.3732911,2.1550295,4.9872003,5.369792,4.678849,4.1409407,4.312963,-0.22086601,-1.0591356,-1.3131527,-0.48799163,sad
-600.0875,59.866695,6.064599,18.247078,-2.0502331,7.751212,-12.605536,-2.6126618,-10.890645,-7.04582,-7.5973454,2.0695345,-6.358903,-9.970416,-1.326732,-1.9251844,-6.1050014,-4.134104,-5.692595,-2.16008,-4.5412264,-3.7887783,-5.213265,-3.9777038,-3.2948537,-3.3431222,-5.5702343,-3.2839634,-4.162535,-3.9451032,-4.649134,-3.7545953,-3.4518776,-3.142278,-4.471059,-2.261098,-2.25561,-0.4772169,1.1864768,1.9488382,disgust
-538.68353,53.07105,-7.990158,1.0590996,-5.061296,1.435333,-16.121513,-7.4946203,-11.9467745,-6.2145114,-7.865436,-1.7555795,-9.163767,-5.316302,-2.1353269,-2.569336,-6.042194,-2.5666142,-6.058301,-3.3246815,-0.61154574,-1.1677212,-1.1742494,-1.9158021,-1.9325461,2.5659623,-0.7140734,1.2076724,2.0252256,2.7947612,1.4009202,2.2645388,0.810961,-0.26281154,-2.0208473,-1.4380604,-0.993337,1.0570258,0.014369179,-0.25102258,surprised
-634.4156,60.700737,-4.737706,2.859661,-0.49712363,-0.025504606,-11.302062,-6.2819915,-9.782394,-4.028159,-2.6037016,-1.5207691,-7.3608003,-4.6950507,-2.1937487,-4.6264105,-3.7964478,-1.9562706,-6.7047224,-5.1904054,-2.0078573,-3.0807095,-2.2408473,-1.0561897,-1.0015306,1.2355304,-0.36623263,-1.385199,-0.16471642,-0.8626314,-1.8265622,0.6907572,0.46383896,-0.89897734,-0.039032165,-0.69746363,-1.3589636,0.5331102,0.6869709,1.6126817,surprised
